date,ticker,google_trends
2023-12-01,TSLA,17
2024-01-01,TSLA,20
2024-02-01,TSLA,18
2024-03-01,TSLA,18
2024-04-01,TSLA,24
2024-05-01,TSLA,17
2024-06-01,TSLA,15
2024-07-01,TSLA,27
2024-08-01,TSLA,17
2024-09-01,TSLA,15
2024-10-01,TSLA,23
2024-11-01,TSLA,38
2024-12-01,TSLA,32
2025-01-01,TSLA,30
2025-02-01,TSLA,36
2025-03-01,TSLA,100
2025-04-01,TSLA,71
2025-05-01,TSLA,31
2025-06-01,TSLA,40
2025-07-01,TSLA,32
2025-08-01,TSLA,28
2025-09-01,TSLA,29
2025-10-01,TSLA,28
2025-11-01,TSLA,23
2025-12-01,TSLA,21
2026-01-01,TSLA,19
2020-01-01,NVDA,3
2020-02-01,NVDA,5
2020-03-01,NVDA,6
2020-04-01,NVDA,4
2020-05-01,NVDA,5
2020-06-01,NVDA,5
2020-07-01,NVDA,6
2020-08-01,NVDA,8
2020-09-01,NVDA,13
2020-10-01,NVDA,7
2020-11-01,NVDA,7
2020-12-01,NVDA,6
2021-01-01,NVDA,6
2021-02-01,NVDA,7
2021-03-01,NVDA,6
2021-04-01,NVDA,6
2021-05-01,NVDA,6
2021-06-01,NVDA,9
2021-07-01,NVDA,11
2021-08-01,NVDA,9
2021-09-01,NVDA,7
2021-10-01,NVDA,7
2021-11-01,NVDA,16
2021-12-01,NVDA,13
2022-01-01,NVDA,12
2022-02-01,NVDA,13
2022-03-01,NVDA,10
2022-04-01,NVDA,9
2022-05-01,NVDA,10
2022-06-01,NVDA,8
2022-07-01,NVDA,9
2022-08-01,NVDA,9
2022-09-01,NVDA,8
2022-10-01,NVDA,6
2022-11-01,NVDA,6
2022-12-01,NVDA,5
2023-01-01,NVDA,6
2023-02-01,NVDA,9
2023-03-01,NVDA,8
2023-04-01,NVDA,7
2023-05-01,NVDA,19
2023-06-01,NVDA,19
2023-07-01,NVDA,15
2023-08-01,NVDA,22
2023-09-01,NVDA,14
2023-10-01,NVDA,12
2023-11-01,NVDA,16
2023-12-01,NVDA,13
2024-01-01,NVDA,20
2024-02-01,NVDA,54
2024-03-01,NVDA,52
2024-04-01,NVDA,34
2024-05-01,NVDA,51
2024-06-01,NVDA,90
2024-07-01,NVDA,63
2024-08-01,NVDA,78
2024-09-01,NVDA,54
2024-10-01,NVDA,50
2024-11-01,NVDA,59
2024-12-01,NVDA,44
2025-01-01,NVDA,100
2025-02-01,NVDA,77
2025-03-01,NVDA,62
2025-04-01,NVDA,71
2025-05-01,NVDA,51
2025-06-01,NVDA,41
2025-07-01,NVDA,54
2025-08-01,NVDA,76
2025-09-01,NVDA,61
2025-10-01,NVDA,67
2025-11-01,NVDA,85
2025-12-01,NVDA,55
2026-01-01,NVDA,45
2020-01-01,SPY,13
2020-02-01,SPY,19
2020-03-01,SPY,56
2020-04-01,SPY,36
2020-05-01,SPY,25
2020-06-01,SPY,27
2020-07-01,SPY,22
2020-08-01,SPY,19
2020-09-01,SPY,22
2020-10-01,SPY,18
2020-11-01,SPY,19
2020-12-01,SPY,18
2021-01-01,SPY,19
2021-02-01,SPY,19
2021-03-01,SPY,21
2021-04-01,SPY,18
2021-05-01,SPY,18
2021-06-01,SPY,16
2021-07-01,SPY,18
2021-08-01,SPY,16
2021-09-01,SPY,18
2021-10-01,SPY,16
2021-11-01,SPY,17
2021-12-01,SPY,21
2022-01-01,SPY,28
2022-02-01,SPY,29
2022-03-01,SPY,24
2022-04-01,SPY,21
2022-05-01,SPY,31
2022-06-01,SPY,30
2022-07-01,SPY,24
2022-08-01,SPY,26
2022-09-01,SPY,28
2022-10-01,SPY,26
2022-11-01,SPY,23
2022-12-01,SPY,21
2023-01-01,SPY,23
2023-02-01,SPY,24
2023-03-01,SPY,24
2023-04-01,SPY,20
2023-05-01,SPY,20
2023-06-01,SPY,20
2023-07-01,SPY,21
2023-08-01,SPY,22
2023-09-01,SPY,19
2023-10-01,SPY,21
2023-11-01,SPY,22
2023-12-01,SPY,23
2024-01-01,SPY,25
2024-02-01,SPY,26
2024-03-01,SPY,24
2024-04-01,SPY,26
2024-05-01,SPY,24
2024-06-01,SPY,24
2024-07-01,SPY,28
2024-08-01,SPY,38
2024-09-01,SPY,29
2024-10-01,SPY,29
2024-11-01,SPY,35
2024-12-01,SPY,33
2025-01-01,SPY,39
2025-02-01,SPY,38
2025-03-01,SPY,56
2025-04-01,SPY,100
2025-05-01,SPY,42
2025-06-01,SPY,40
2025-07-01,SPY,42
2025-08-01,SPY,77
2025-09-01,SPY,66
2025-10-01,SPY,66
2025-11-01,SPY,62
2025-12-01,SPY,60
2026-01-01,SPY,60
