week_end,google_trends,ticker
2020-01-10,,NVDA
2020-01-17,,NVDA
2020-01-24,,NVDA
2020-01-31,,NVDA
2020-02-07,5.0,NVDA
2020-02-14,,NVDA
2020-02-21,,NVDA
2020-02-28,,NVDA
2020-03-06,6.0,NVDA
2020-03-13,,NVDA
2020-03-20,,NVDA
2020-03-27,,NVDA
2020-04-03,4.0,NVDA
2020-04-10,,NVDA
2020-04-17,,NVDA
2020-04-24,,NVDA
2020-05-01,5.0,NVDA
2020-05-08,,NVDA
2020-05-15,,NVDA
2020-05-22,,NVDA
2020-05-29,,NVDA
2020-06-05,5.0,NVDA
2020-06-12,,NVDA
2020-06-19,,NVDA
2020-06-26,,NVDA
2020-07-03,6.0,NVDA
2020-07-10,,NVDA
2020-07-17,,NVDA
2020-07-24,,NVDA
2020-07-31,,NVDA
2020-08-07,8.0,NVDA
2020-08-14,,NVDA
2020-08-21,,NVDA
2020-08-28,,NVDA
2020-09-04,13.0,NVDA
2020-09-11,,NVDA
2020-09-18,,NVDA
2020-09-25,,NVDA
2020-10-02,7.0,NVDA
2020-10-09,,NVDA
2020-10-16,,NVDA
2020-10-23,,NVDA
2020-10-30,,NVDA
2020-11-06,7.0,NVDA
2020-11-13,,NVDA
2020-11-20,,NVDA
2020-11-27,,NVDA
2020-12-04,6.0,NVDA
2020-12-11,,NVDA
2020-12-18,,NVDA
2020-12-25,,NVDA
2021-01-01,6.0,NVDA
2021-01-08,,NVDA
2021-01-15,,NVDA
2021-01-22,,NVDA
2021-01-29,,NVDA
2021-02-05,7.0,NVDA
2021-02-12,,NVDA
2021-02-19,,NVDA
2021-02-26,,NVDA
2021-03-05,6.0,NVDA
2021-03-12,,NVDA
2021-03-19,,NVDA
2021-03-26,,NVDA
2021-04-02,6.0,NVDA
2021-04-09,,NVDA
2021-04-16,,NVDA
2021-04-23,,NVDA
2021-04-30,,NVDA
2021-05-07,6.0,NVDA
2021-05-14,,NVDA
2021-05-21,,NVDA
2021-05-28,,NVDA
2021-06-04,9.0,NVDA
2021-06-11,,NVDA
2021-06-18,,NVDA
2021-06-25,,NVDA
2021-07-02,11.0,NVDA
2021-07-09,,NVDA
2021-07-16,,NVDA
2021-07-23,,NVDA
2021-07-30,,NVDA
2021-08-06,9.0,NVDA
2021-08-13,,NVDA
2021-08-20,,NVDA
2021-08-27,,NVDA
2021-09-03,7.0,NVDA
2021-09-10,,NVDA
2021-09-17,,NVDA
2021-09-24,,NVDA
2021-10-01,7.0,NVDA
2021-10-08,,NVDA
2021-10-15,,NVDA
2021-10-22,,NVDA
2021-10-29,,NVDA
2021-11-05,16.0,NVDA
2021-11-12,,NVDA
2021-11-19,,NVDA
2021-11-26,,NVDA
2021-12-03,13.0,NVDA
2021-12-10,,NVDA
2021-12-17,,NVDA
2021-12-24,,NVDA
2021-12-31,,NVDA
2022-01-07,12.0,NVDA
2022-01-14,,NVDA
2022-01-21,,NVDA
2022-01-28,,NVDA
2022-02-04,13.0,NVDA
2022-02-11,,NVDA
2022-02-18,,NVDA
2022-02-25,,NVDA
2022-03-04,10.0,NVDA
2022-03-11,,NVDA
2022-03-18,,NVDA
2022-03-25,,NVDA
2022-04-01,9.0,NVDA
2022-04-08,,NVDA
2022-04-15,,NVDA
2022-04-22,,NVDA
2022-04-29,,NVDA
2022-05-06,10.0,NVDA
2022-05-13,,NVDA
2022-05-20,,NVDA
2022-05-27,,NVDA
2022-06-03,8.0,NVDA
2022-06-10,,NVDA
2022-06-17,,NVDA
2022-06-24,,NVDA
2022-07-01,9.0,NVDA
2022-07-08,,NVDA
2022-07-15,,NVDA
2022-07-22,,NVDA
2022-07-29,,NVDA
2022-08-05,9.0,NVDA
2022-08-12,,NVDA
2022-08-19,,NVDA
2022-08-26,,NVDA
2022-09-02,8.0,NVDA
2022-09-09,,NVDA
2022-09-16,,NVDA
2022-09-23,,NVDA
2022-09-30,,NVDA
2022-10-07,6.0,NVDA
2022-10-14,,NVDA
2022-10-21,,NVDA
2022-10-28,,NVDA
2022-11-04,6.0,NVDA
2022-11-11,,NVDA
2022-11-18,,NVDA
2022-11-25,,NVDA
2022-12-02,5.0,NVDA
2022-12-09,,NVDA
2022-12-16,,NVDA
2022-12-23,,NVDA
2022-12-30,,NVDA
2023-01-06,6.0,NVDA
2023-01-13,,NVDA
2023-01-20,,NVDA
2023-01-27,,NVDA
2023-02-03,9.0,NVDA
2023-02-10,,NVDA
2023-02-17,,NVDA
2023-02-24,,NVDA
2023-03-03,8.0,NVDA
2023-03-10,,NVDA
2023-03-17,,NVDA
2023-03-24,,NVDA
2023-03-31,,NVDA
2023-04-07,7.0,NVDA
2023-04-14,,NVDA
2023-04-21,,NVDA
2023-04-28,,NVDA
2023-05-05,19.0,NVDA
2023-05-12,,NVDA
2023-05-19,,NVDA
2023-05-26,,NVDA
2023-06-02,19.0,NVDA
2023-06-09,,NVDA
2023-06-16,,NVDA
2023-06-23,,NVDA
2023-06-30,,NVDA
2023-07-07,15.0,NVDA
2023-07-14,,NVDA
2023-07-21,,NVDA
2023-07-28,,NVDA
2023-08-04,22.0,NVDA
2023-08-11,,NVDA
2023-08-18,,NVDA
2023-08-25,,NVDA
2023-09-01,14.0,NVDA
2023-09-08,,NVDA
2023-09-15,,NVDA
2023-09-22,,NVDA
2023-09-29,,NVDA
2023-10-06,12.0,NVDA
2023-10-13,,NVDA
2023-10-20,,NVDA
2023-10-27,,NVDA
2023-11-03,16.0,NVDA
2023-11-10,,NVDA
2023-11-17,,NVDA
2023-11-24,,NVDA
2023-12-01,13.0,NVDA
2023-12-08,,NVDA
2023-12-15,,NVDA
2023-12-22,,NVDA
2023-12-29,,NVDA
2024-01-05,20.0,NVDA
2024-01-12,,NVDA
2024-01-19,,NVDA
2024-01-26,,NVDA
2024-02-02,54.0,NVDA
2024-02-09,,NVDA
2024-02-16,,NVDA
2024-02-23,,NVDA
2024-03-01,52.0,NVDA
2024-03-08,,NVDA
2024-03-15,,NVDA
2024-03-22,,NVDA
2024-03-29,,NVDA
2024-04-05,34.0,NVDA
2024-04-12,,NVDA
2024-04-19,,NVDA
2024-04-26,,NVDA
2024-05-03,51.0,NVDA
2024-05-10,,NVDA
2024-05-17,,NVDA
2024-05-24,,NVDA
2024-05-31,,NVDA
2024-06-07,90.0,NVDA
2024-06-14,,NVDA
2024-06-21,,NVDA
2024-06-28,,NVDA
2024-07-05,63.0,NVDA
2024-07-12,,NVDA
2024-07-19,,NVDA
2024-07-26,,NVDA
2024-08-02,78.0,NVDA
2024-08-09,,NVDA
2024-08-16,,NVDA
2024-08-23,,NVDA
2024-08-30,,NVDA
2024-09-06,54.0,NVDA
2024-09-13,,NVDA
2024-09-20,,NVDA
2024-09-27,,NVDA
2024-10-04,50.0,NVDA
2024-10-11,,NVDA
2024-10-18,,NVDA
2024-10-25,,NVDA
2024-11-01,59.0,NVDA
2024-11-08,,NVDA
2024-11-15,,NVDA
2024-11-22,,NVDA
2024-11-29,,NVDA
2024-12-06,44.0,NVDA
2024-12-13,,NVDA
2024-12-20,,NVDA
